lcms_run,pathway,p_age,FDR_age,slope,direction
high-bps-wk07-wk22,map00680,7.370890578233819e-5,3.578620787983086e-4,-0.05276370374088273,decreasing_with_age
high-bps-wk07-wk22,map04978,0.0015642901340924894,0.004721055810098954,-0.06222466545953969,decreasing_with_age
high-bps-wk07-wk22,map04137,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00902,2.793307774200623e-4,0.0010880908190200101,-0.051477263299230316,decreasing_with_age
high-bps-wk07-wk22,map00512,0.011167352140884153,0.025623718953398572,-0.05583266915987216,decreasing_with_age
high-bps-wk07-wk22,map00074,4.982946198740661e-4,0.0017571441858717067,-0.03279575398851805,decreasing_with_age
high-bps-wk07-wk22,map04217,0.006829610491838764,0.016579126918594103,-0.057903129645077406,decreasing_with_age
high-bps-wk07-wk22,map00524,3.223114322344357e-5,1.6611435353620918e-4,-0.06772531174893458,decreasing_with_age
high-bps-wk07-wk22,map04082,0.004991482383758841,0.013485053214187191,-0.04118090829462445,decreasing_with_age
high-bps-wk07-wk22,map04722,0.011834515043989975,0.02696981319548736,-0.05698404108474086,decreasing_with_age
high-bps-wk07-wk22,map04613,6.348046843660351e-7,4.430407692971287e-6,-0.11483789307746177,decreasing_with_age
high-bps-wk07-wk22,map00760,9.04416188332202e-5,4.328277472732681e-4,-0.10071477941541061,decreasing_with_age
high-bps-wk07-wk22,map00910,1.0677019883221601e-4,4.899728302574296e-4,-0.09684120742954662,decreasing_with_age
high-bps-wk07-wk22,map00633,0.0023736722859374554,0.006914610572078674,0.04522783861733989,increasing_with_age
high-bps-wk07-wk22,map04932,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map01054,1.350902185642454e-7,1.0524470516051677e-6,-0.09612557072491511,decreasing_with_age
high-bps-wk07-wk22,map00401,0.021621600469843783,0.04498904445588613,-0.07097017212242164,decreasing_with_age
high-bps-wk07-wk22,map01232,1.9265678372702522e-6,1.290800450971069e-5,-0.14045023886800406,decreasing_with_age
high-bps-wk07-wk22,map00670,4.6181222597306365e-6,2.8649462166847466e-5,-0.029941056692574578,decreasing_with_age
high-bps-wk07-wk22,map00720,1.7899691547161945e-5,9.993994447165418e-5,-0.03881939954322575,decreasing_with_age
high-bps-wk07-wk22,map05200,0.0010337019181869494,0.003298001358025029,-0.01887897898216565,decreasing_with_age
high-bps-wk07-wk22,map00311,4.759099995096826e-4,0.0016960622322951455,-0.06068623602704683,decreasing_with_age
high-bps-wk07-wk22,map00040,0.001957354733022568,0.00585458781752286,-0.05288864984274213,decreasing_with_age
high-bps-wk07-wk22,map00550,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00400,4.9407839988485774e-5,2.443281201542568e-4,-0.07761438226696697,decreasing_with_age
high-bps-wk07-wk22,map04070,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00440,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map02060,0.001015002677833743,0.0032694797795606145,0.029076556385498966,increasing_with_age
high-bps-wk07-wk22,map04745,0.007378090018167227,0.01752950465309235,-0.06782120130111016,decreasing_with_age
high-bps-wk07-wk22,map00907,0.00583485123552771,0.015035962799244483,0.05752168618085307,increasing_with_age
high-bps-wk07-wk22,map00624,0.006272378704648092,0.015734041793450285,-0.1106617860993434,decreasing_with_age
